[4545.0,[39,97],4545.0,[0,39,97]]
[4544.0,[38,94],4544.0,[0,38,94]]
[4543.0,[2,53],4543.0,[1,2,53]]
[4542.0,[23,50],4542.0,[0,23,50]]
[4541.0,[16,77],4541.0,[0,16,77]]
[4540.0,[18,61],4540.0,[0,18,61]]
[4539.0,[56,88],4539.0,[0,56,88]]
[4538.0,[11,21],4538.0,[0,11,21]]
[4537.0,[24,72],4537.0,[0,24,72]]
[4536.0,[18,49],4536.0,[2,18,49]]
[4535.0,[36,69],4535.0,[0,36,69]]
[4534.0,[73,83],4534.0,[0,73,83]]
[4533.0,[26,28],4533.0,[0,26,28]]
[4532.0,[3,75],4532.0,[0,3,75]]
[4531.0,[14,87],4531.0,[1,14,87]]
[4530.0,[14,18],4530.0,[2,14,18]]
[4529.0,[52,62],4529.0,[1,52,62]]
[4528.0,[88,98],4528.0,[0,88,98]]
[4527.0,[15,88],4527.0,[0,15,88]]
[4526.0,[62,63],4526.0,[1,62,63]]
[4525.0,[39,66],4525.0,[0,39,66]]
[4524.0,[8,94],4524.0,[0,8,94]]
[4523.0,[64,79],4523.0,[0,64,79]]
[4522.0,[10,46],4522.0,[0,10,46]]
[4521.0,[0,18],4521.0,[0,3,18]]
[4520.0,[33,67],4520.0,[0,33,67]]
[4519.0,[54,57],4519.0,[1,54,57]]
[4518.0,[74,91],4518.0,[0,74,91]]
[4517.0,[7,59],4517.0,[0,7,59]]
[4516.0,[54,73],4516.0,[0,54,73]]
[4515.0,[39,73],4515.0,[0,39,73]]
[4514.0,[86,91],4514.0,[0,86,91]]
[4513.0,[71,98],4513.0,[0,71,98]]
[4512.0,[36,50],4512.0,[0,36,50]]
[4511.0,[25,85],4511.0,[0,25,85]]
[4510.0,[19,67],4510.0,[0,19,67]]
[4509.0,[0,46],4509.0,[0,1,46]]
[4508.0,[0,52],4508.0,[0,1,52]]
[4507.0,[27,77],4507.0,[1,27,77]]
[4506.0,[26,81],4506.0,[1,26,81]]
[4505.0,[27,40],4505.0,[1,27,40]]
[4504.0,[3,59],4504.0,[0,3,59]]
[4503.0,[52,77],4503.0,[1,52,77]]
[4502.0,[76,87],4502.0,[0,76,87]]
[4501.0,[29,35],4501.0,[0,29,35]]
[4500.0,[4,10],4500.0,[0,4,10]]
[4499.0,[6,30],4499.0,[0,6,30]]
[4498.0,[59,78],4498.0,[0,59,78]]
[4497.0,[41,91],4497.0,[0,41,91]]
[4496.0,[7,53],4496.0,[0,7,53]]
[4495.0,[23,91],4495.0,[0,23,91]]
[4494.0,[48,76],4494.0,[0,48,76]]
[4493.0,[52,84],4493.0,[1,52,84]]
[4492.0,[1,9],4492.0,[1,2,9]]
[4491.0,[62,94],4491.0,[1,62,94]]
[4490.0,[12,20],4490.0,[0,12,20]]
[4489.0,[13,54],4489.0,[0,13,54]]
[4488.0,[44,54],4488.0,[0,44,54]]
[4487.0,[10,71],4487.0,[0,10,71]]
[4486.0,[61,91],4486.0,[0,61,91]]
[4485.0,[24,55],4485.0,[0,24,55]]
[4484.0,[22,54],4484.0,[0,22,54]]
[4483.0,[23,96],4483.0,[0,23,96]]
[4482.0,[34,50],4482.0,[0,34,50]]
[4481.0,[81,83],4481.0,[1,81,83]]
[4480.0,[35,54],4480.0,[0,35,54]]
[4479.0,[1,34],4479.0,[0,1,34]]
[4478.0,[53,79],4478.0,[0,53,79]]
[4477.0,[48,96],4477.0,[0,48,96]]
[4476.0,[65,68],4476.0,[0,65,68]]
[4475.0,[33,60],4475.0,[0,33,60]]
[4474.0,[47,86],4474.0,[0,47,86]]
[4473.0,[34,74],4473.0,[0,34,74]]
[4472.0,[29,66],4472.0,[0,29,66]]
[4471.0,[4,57],4471.0,[1,4,57]]
[4470.0,[8,48],4470.0,[0,8,48]]
[4469.0,[78,85],4469.0,[0,78,85]]
[4468.0,[63,77],4468.0,[0,63,77]]
[4467.0,[3,21],4467.0,[0,3,21]]
[4466.0,[17,89],4466.0,[1,17,89]]
[4465.0,[27,94],4465.0,[1,27,94]]
[4464.0,[40,54],4464.0,[0,40,54]]
[4463.0,[61,84],4463.0,[0,61,84]]
[4462.0,[40,69],4462.0,[0,40,69]]
[4461.0,[40,57],4461.0,[1,40,57]]
[4460.0,[20,71],4460.0,[0,20,71]]
[4459.0,[5,34],4459.0,[0,5,34]]
[4458.0,[5,37],4458.0,[0,5,37]]
[4457.0,[13,43],4457.0,[0,13,43]]
[4456.0,[26,67],4456.0,[0,26,67]]
[4455.0,[16,47],4455.0,[0,16,47]]
[4454.0,[46,71],4454.0,[1,46,71]]
[4453.0,[14,16],4453.0,[1,14,16]]
[4452.0,[9,70],4452.0,[2,9,70]]
[4451.0,[28,81],4451.0,[2,28,81]]
[4450.0,[42,87],4450.0,[0,42,87]]
[4449.0,[27,85],4449.0,[1,27,85]]
[4448.0,[15,55],4448.0,[0,15,55]]
[4447.0,[18,78],4447.0,[2,18,78]]
[4446.0,[3,77],4446.0,[0,3,77]]
[4445.0,[56,77],4445.0,[0,56,77]]
[4444.0,[34,80],4444.0,[0,34,80]]
[4443.0,[85,92],4443.0,[0,85,92]]
[4442.0,[6,77],4442.0,[0,6,77]]
[4441.0,[42,62],4441.0,[2,42,62]]
[4440.0,[11,64],4440.0,[0,11,64]]
[4439.0,[5,12],4439.0,[0,5,12]]
[4438.0,[18,57],4438.0,[2,18,57]]
[4437.0,[6,47],4437.0,[0,6,47]]
[4436.0,[60,94],4436.0,[0,60,94]]
[4435.0,[19,65],4435.0,[0,19,65]]
[4434.0,[66,80],4434.0,[0,66,80]]
[4433.0,[53,80],4433.0,[0,53,80]]
[4432.0,[45,82],4432.0,[0,45,82]]
[4431.0,[26,71],4431.0,[0,26,71]]
[4430.0,[13,68],4430.0,[0,13,68]]
[4429.0,[70,76],4429.0,[0,70,76]]
[4428.0,[19,95],4428.0,[0,19,95]]
[4427.0,[6,9],4427.0,[2,6,9]]
[4426.0,[0,5],4426.0,[0,1,5]]
[4425.0,[84,87],4425.0,[0,84,87]]
[4424.0,[58,86],4424.0,[1,58,86]]
[4423.0,[17,98],4423.0,[1,17,98]]
[4422.0,[28,65],4422.0,[0,28,65]]
[4421.0,[63,65],4421.0,[0,63,65]]
[4420.0,[64,95],4420.0,[0,64,95]]
[4419.0,[38,65],4419.0,[0,38,65]]
[4418.0,[27,74],4418.0,[1,27,74]]
[4417.0,[4,46],4417.0,[1,4,46]]
[4416.0,[21,31],4416.0,[0,21,31]]
[4415.0,[54,93],4415.0,[0,54,93]]
[4414.0,[50,59],4414.0,[0,50,59]]
[4413.0,[13,35],4413.0,[0,13,35]]
[4412.0,[2,61],4412.0,[1,2,61]]
[4411.0,[4,40],4411.0,[0,4,40]]
[4410.0,[25,58],4410.0,[1,25,58]]
[4409.0,[29,40],4409.0,[0,29,40]]
[4408.0,[44,86],4408.0,[0,44,86]]
[4407.0,[77,99],4407.0,[0,77,99]]
[4406.0,[24,67],4406.0,[0,24,67]]
[4405.0,[0,21],4405.0,[0,1,21]]
[4404.0,[8,11],4404.0,[0,8,11]]
[4403.0,[13,53],4403.0,[0,13,53]]
[4402.0,[56,85],4402.0,[0,56,85]]
[4401.0,[24,37],4401.0,[0,24,37]]
[4400.0,[8,59],4400.0,[0,8,59]]
[4399.0,[29,53],4399.0,[0,29,53]]
[4398.0,[46,84],4398.0,[1,46,84]]
[4397.0,[29,95],4397.0,[0,29,95]]
[4396.0,[10,21],4396.0,[1,10,21]]
[4395.0,[54,56],4395.0,[0,54,56]]
[4394.0,[5,57],4394.0,[1,5,57]]
[4393.0,[77,98],4393.0,[0,77,98]]
[4392.0,[51,56],4392.0,[0,51,56]]
[4391.0,[17,61],4391.0,[1,17,61]]
[4390.0,[63,72],4390.0,[0,63,72]]
[4389.0,[1,2],4389.0,[1,2,3]]
[4388.0,[26,76],4388.0,[0,26,76]]
[4387.0,[43,95],4387.0,[0,43,95]]
[4386.0,[24,48],4386.0,[0,24,48]]
[4385.0,[16,58],4385.0,[1,16,58]]
[4384.0,[24,91],4384.0,[0,24,91]]
[4383.0,[0,11],4383.0,[0,1,11]]
[4382.0,[78,89],4382.0,[0,78,89]]
[4381.0,[3,33],4381.0,[0,3,33]]
[4380.0,[3,54],4380.0,[0,3,54]]
[4379.0,[68,82],4379.0,[0,68,82]]
[4378.0,[21,64],4378.0,[1,21,64]]
[4377.0,[47,75],4377.0,[0,47,75]]
[4376.0,[32,82],4376.0,[0,32,82]]
[4375.0,[3,91],4375.0,[0,3,91]]
[4374.0,[8,31],4374.0,[0,8,31]]
[4373.0,[45,74],4373.0,[0,45,74]]
[4372.0,[49,90],4372.0,[1,49,90]]
[4371.0,[48,86],4371.0,[0,48,86]]
[4370.0,[24,96],4370.0,[0,24,96]]
[4369.0,[18,97],4369.0,[2,18,97]]
[4368.0,[16,82],4368.0,[0,16,82]]
[4367.0,[61,81],4367.0,[1,61,81]]
[4366.0,[11,73],4366.0,[1,11,73]]
[4365.0,[44,51],4365.0,[0,44,51]]
[4364.0,[16,20],4364.0,[0,16,20]]
[4363.0,[2,52],4363.0,[2,3,52]]
[4362.0,[49,94],4362.0,[1,49,94]]
[4361.0,[25,42],4361.0,[0,25,42]]
[4360.0,[49,69],4360.0,[1,49,69]]
[4359.0,[75,93],4359.0,[0,75,93]]
[4358.0,[50,76],4358.0,[0,50,76]]
[4357.0,[38,48],4357.0,[0,38,48]]
[4356.0,[33,42],4356.0,[0,33,42]]
[4355.0,[32,90],4355.0,[0,32,90]]
[4354.0,[30,91],4354.0,[0,30,91]]
[4353.0,[14,26],4353.0,[1,14,26]]
[4352.0,[12,41],4352.0,[0,12,41]]
[4351.0,[21,32],4351.0,[1,21,32]]
[4350.0,[78,98],4350.0,[0,78,98]]
[4349.0,[16,96],4349.0,[0,16,96]]
[4348.0,[78,95],4348.0,[0,78,95]]
[4347.0,[18,70],4347.0,[2,18,70]]
[4346.0,[68,95],4346.0,[0,68,95]]
[4345.0,[49,91],4345.0,[1,49,91]]
[4344.0,[18,31],4344.0,[2,18,31]]
[4343.0,[28,41],4343.0,[0,28,41]]
[4342.0,[7,84],4342.0,[0,7,84]]
[4341.0,[16,78],4341.0,[0,16,78]]
[4340.0,[29,97],4340.0,[0,29,97]]
[4339.0,[45,79],4339.0,[0,45,79]]
[4338.0,[9,71],4338.0,[2,9,71]]
[4337.0,[63,75],4337.0,[0,63,75]]
[4336.0,[20,53],4336.0,[0,20,53]]
[4335.0,[55,97],4335.0,[0,55,97]]
[4334.0,[5,56],4334.0,[1,5,56]]
[4333.0,[4,97],4333.0,[0,4,97]]
[4332.0,[6,64],4332.0,[0,6,64]]
[4331.0,[80,93],4331.0,[0,80,93]]
[4330.0,[19,27],4330.0,[1,19,27]]
[4329.0,[13,78],4329.0,[0,13,78]]
[4328.0,[14,67],4328.0,[1,14,67]]
[4327.0,[63,84],4327.0,[0,63,84]]
[4326.0,[13,41],4326.0,[0,13,41]]
[4325.0,[27,71],4325.0,[1,27,71]]
[4324.0,[61,68],4324.0,[0,61,68]]
[4323.0,[6,41],4323.0,[0,6,41]]
[4322.0,[19,86],4322.0,[0,19,86]]
[4321.0,[29,44],4321.0,[0,29,44]]
[4320.0,[3,20],4320.0,[0,3,20]]
[4319.0,[9,98],4319.0,[2,9,98]]
[4318.0,[42,92],4318.0,[0,42,92]]
[4317.0,[12,44],4317.0,[0,12,44]]
[4316.0,[12,69],4316.0,[0,12,69]]
[4315.0,[14,56],4315.0,[1,14,56]]
[4314.0,[38,47],4314.0,[0,38,47]]
[4313.0,[38,69],4313.0,[0,38,69]]
[4312.0,[46,92],4312.0,[1,46,92]]
[4311.0,[26,65],4311.0,[0,26,65]]
[4310.0,[16,60],4310.0,[0,16,60]]
[4309.0,[36,48],4309.0,[0,36,48]]
[4308.0,[5,17],4308.0,[1,5,17]]
[4307.0,[34,49],4307.0,[2,34,49]]
[4306.0,[32,75],4306.0,[0,32,75]]
[4305.0,[52,70],4305.0,[1,52,70]]
[4304.0,[14,28],4304.0,[2,14,28]]
[4303.0,[3,92],4303.0,[0,3,92]]
[4302.0,[19,31],4302.0,[0,19,31]]
[4301.0,[8,81],4301.0,[1,8,81]]
[4300.0,[24,40],4300.0,[0,24,40]]
[4299.0,[31,54],4299.0,[0,31,54]]
[4298.0,[7,37],4298.0,[0,7,37]]
[4297.0,[75,84],4297.0,[0,75,84]]
[4296.0,[18,92],4296.0,[2,18,92]]
[4295.0,[6,40],4295.0,[0,6,40]]
[4294.0,[7,96],4294.0,[0,7,96]]
[4293.0,[6,51],4293.0,[0,6,51]]
[4292.0,[60,87],4292.0,[0,60,87]]
[4291.0,[28,47],4291.0,[0,28,47]]
[4290.0,[59,84],4290.0,[0,59,84]]
[4289.0,[47,57],4289.0,[1,47,57]]
[4288.0,[65,82],4288.0,[0,65,82]]
[4287.0,[3,37],4287.0,[0,3,37]]
[4286.0,[4,86],4286.0,[0,4,86]]
[4285.0,[43,71],4285.0,[0,43,71]]
[4284.0,[68,70],4284.0,[0,68,70]]
[4283.0,[7,68],4283.0,[0,7,68]]
[4282.0,[63,97],4282.0,[0,63,97]]
[4281.0,[32,78],4281.0,[0,32,78]]
[4280.0,[9,64],4280.0,[2,9,64]]
[4279.0,[31,78],4279.0,[0,31,78]]
[4278.0,[7,15],4278.0,[0,7,15]]
[4277.0,[50,52],4277.0,[1,50,52]]
[4276.0,[5,47],4276.0,[1,5,47]]
[4275.0,[41,88],4275.0,[0,41,88]]
[4274.0,[43,50],4274.0,[0,43,50]]
[4273.0,[26,45],4273.0,[0,26,45]]
[4272.0,[58,60],4272.0,[1,58,60]]
[4271.0,[53,88],4271.0,[0,53,88]]
[4270.0,[42,56],4270.0,[0,42,56]]
[4269.0,[12,75],4269.0,[0,12,75]]
[4268.0,[48,83],4268.0,[0,48,83]]
[4267.0,[26,98],4267.0,[0,26,98]]
[4266.0,[24,93],4266.0,[0,24,93]]
[4265.0,[7,82],4265.0,[0,7,82]]
[4264.0,[46,52],4264.0,[1,46,52]]
[4263.0,[39,54],4263.0,[0,39,54]]
[4262.0,[17,56],4262.0,[1,17,56]]
[4261.0,[31,88],4261.0,[0,31,88]]
[4260.0,[52,68],4260.0,[1,52,68]]
[4259.0,[22,67],4259.0,[0,22,67]]
[4258.0,[57,61],4258.0,[1,57,61]]
[4257.0,[70,82],4257.0,[0,70,82]]
[4256.0,[29,86],4256.0,[0,29,86]]
[4255.0,[8,58],4255.0,[1,8,58]]
[4254.0,[0,3],4254.0,[0,1,3]]
[4253.0,[21,41],4253.0,[1,21,41]]
[4252.0,[63,71],4252.0,[0,63,71]]
[4251.0,[17,30],4251.0,[1,17,30]]
[4250.0,[7,26],4250.0,[0,7,26]]
[4249.0,[2,11],4249.0,[2,3,11]]
[4248.0,[67,73],4248.0,[0,67,73]]
[4247.0,[22,87],4247.0,[0,22,87]]
[4246.0,[33,83],4246.0,[0,33,83]]
[4245.0,[30,52],4245.0,[1,30,52]]
[4244.0,[3,38],4244.0,[2,3,38]]
[4243.0,[58,71],4243.0,[1,58,71]]
[4242.0,[7,65],4242.0,[0,7,65]]
[4241.0,[15,41],4241.0,[0,15,41]]
[4240.0,[4,27],4240.0,[1,4,27]]
[4239.0,[17,52],4239.0,[1,17,52]]
[4238.0,[41,69],4238.0,[0,41,69]]
[4237.0,[16,92],4237.0,[0,16,92]]
[4236.0,[0,34],4236.0,[0,4,34]]
[4235.0,[34,53],4235.0,[3,34,53]]
[4234.0,[23,27],4234.0,[1,23,27]]
[4233.0,[0,26],4233.0,[0,1,26]]
